Datum  : 23-08-2022 [22:36]                                                                                                 NPI ARTIKELEN V3                                                                                                  Blad      :     1
Neways Cable & Wire Sol. B.V.                                                                                                                                                                                                                  Bedrijf   :  450

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Artikel         |Omschrijving                  |S|Sig|Mat.    |CRL|CRL Name                      |RFQ number  |Nummer|Hoeveelheid   |Startdatum|Leverdatum|Plannr|Afd|Taak|Norm    |
329.811.000-C   |BANDKABEL 10XAWG28 L=2300     |M|PIL|        |7B1|BRAVILOR                802560|21.11.00997 |     0|       50,00  |05-05-2023|18-05-2023|  6000|Y42|6010|TBOARD  |
329.861.000-D   |DRAADBOOM ZWAK RIVERO TURBO 2 |M|PIL|        |7B1|BRAVILOR                802560|21.11.00993 |     0|       25,00  |30-11-2022|22-12-2022|  6000|Y42|6010|UL/TBORD|
329.957.000-D   |DRAADBOOM ZWAK BOLERO MOB     |M|PIL|        |7B1|BRAVILOR                802560|22.01.00021 |     0|       75,00  |30-11-2022|19-12-2022|  6000|Y42|6010|TBOARD  |
331.196.000-E   |DRAADBOOOM STERK ESPRECIOUS GB|M|PIL|SGS     |7B1|BRAVILOR                802560|20.08.00616 |     0|      500,00  |28-03-2023|17-04-2023|  6000|Y42|6010|BBOARD  |
331.488.000-G   |DRAADBOOOM ZWAK SEGO          |S|PIL|        |7B1|BRAVILOR                802560|22.04.00329 |801498|      100,00  |19-07-2022|15-08-2022|  6000|Y42|6010|TBOARD  |
331.596.000-C   |DRAADBOOM ZWAK ESPRECIOUS NA  |M|EN3|        |7B1|BRAVILOR                802560|22.01.00067 |     0|      500,00  |17-01-2023|07-02-2023|  6000|Y42|6010|TBOARD  |
331.633.000-C   |KABEL MDB SEGO COMPLEET       |M|EN3|        |7B1|BRAVILOR                802560|22.01.00067 |     0|      500,00  |29-08-2022|15-09-2022|  6000|Y42|6010|TBOARD  |
331.872.000-B   |DRAADBOOM POMPEN (1) SEGO V2  |S|PIL|SGS     |7B1|BRAVILOR                802560|22.03.00263 |801523|      250,00  |01-08-2022|22-08-2022|  6000|Y42|6010|UL/BBORD|
331.873.000-B   |DRAADBOOM POMPEN (2) SEGO V2  |S|PIL|        |7B1|BRAVILOR                802560|22.03.00263 |801510|      250,00  |02-08-2022|29-08-2022|  6000|Y42|6010|UL/TBORD|
3322 405 48501  |LASERTAB 4-747 EMO 2          |M|PIL|NO TPD  |3M1|FEI CZECH REPUBLIC SRO  806300|18.07.00666 |     0|        8,00  |16-11-2022|21-11-2022|  9030|N01|4010|        |
3322 405 48511  |LASERTAB 4-747 EMO 3          |M|PIL|NO TPD  |3M1|FEI CZECH REPUBLIC SRO  806300|18.07.00666 |     0|        4,00  |16-11-2022|21-11-2022|  9030|N01|4010|        |
3322 405 48521  |LASERTAB 4-747 EMO 4          |M|PIL|NO TPD  |3M1|FEI CZECH REPUBLIC SRO  806300|18.07.00666 |     0|        9,00  |16-11-2022|21-11-2022|  9030|N01|4010|        |
3322 405 48541  |LASERTAB 4-747 EMO 6          |M|PIL|NO TPD  |3M1|FEI CZECH REPUBLIC SRO  806300|18.07.00666 |     0|        4,00  |16-11-2022|21-11-2022|  9030|N01|4010|        |
3322 405 48551  |LASERTAB 4-747 EMO 7          |M|PIL|NO TPD  |3M1|FEI CZECH REPUBLIC SRO  806300|18.07.00666 |     0|        8,00  |16-11-2022|21-11-2022|  9030|N01|4010|        |
3322 405 48561  |LASERTAB 4-747 EMO 8          |M|PIL|NO TPD  |3M1|FEI CZECH REPUBLIC SRO  806300|18.07.00666 |     0|        6,00  |16-11-2022|21-11-2022|  9030|N01|4010|        |
3322 405 52662  |4022 680 85022 HOSE SET       |M|PIL|s12     |5M2|FRENCKEN SEMICON GRADE4 141047|21.05.00424 |     0|        1,00  |12-08-2022|31-08-2022|  8035|N01|4010|        |
3322 405 52802  |4022 680 85022 CABLE SET      |M|EN3|s48     |5M2|FRENCKEN SEMICON GRADE4 141047|21.05.00424 |     0|        1,00  |04-08-2022|31-08-2022|  8035|N01|4010|        |
3322 405 54802  |4022 623 69323- NSK           |M|EN2|        |5F2|NAA GRADE 2 ASSY        140838|22.04.00324 |     0|        1,00  |01-09-2022|15-09-2022|  8045|N01|4010|        |
3322 405 55481  |DSIM-PTOOL DL5_DL5 X3         |S|EN4|        |5N1|NAA PHILIPS HEALTHCARE  140836|21.09.00879 |741247|        1,00  |07-06-2022|18-01-2023|  7015|101|7010|        |
3322 405 55491  |DSIM-PTOOL DL5_DL5 X4         |S|EN4|        |5N1|NAA PHILIPS HEALTHCARE  140836|21.09.00879 |741246|        1,00  |07-06-2022|18-01-2023|  7015|101|7010|        |
3322 405 55531  |DSIM-PTOOL DL5_LIF0260 X1     |S|EN4|        |5N1|NAA PHILIPS HEALTHCARE  140836|21.09.00879 |741240|        1,00  |30-05-2022|13-01-2023|  7015|101|7010|        |
3322 405 55541  |DSIM-PTOOL DL5_LIF0260 X2     |S|EN4|        |5N1|NAA PHILIPS HEALTHCARE  140836|21.09.00879 |741242|        1,00  |30-05-2022|18-01-2023|  7015|101|7010|        |
3322 405 55581  |DSIM-PTOOL DL5_LIF0260 X6     |S|EN4|        |5N1|NAA PHILIPS HEALTHCARE  140836|21.09.00879 |741245|        1,00  |03-06-2022|18-01-2023|  7015|101|7010|        |
3322 405 55591  |DSIM-PTOOL DL5_LIF0260 X7     |S|EN4|        |5N1|NAA PHILIPS HEALTHCARE  140836|21.09.00879 |741241|        1,00  |30-05-2022|18-01-2023|  7015|101|7010|        |
3322 405 55601  |DSIM-PTOOL DL5_LIF0260 X8     |S|EN4|        |5N1|NAA PHILIPS HEALTHCARE  140836|21.09.00879 |741248|        1,00  |07-06-2022|19-01-2023|  7015|101|7010|        |
3322 405 55611  |DSIM-PTOOL DL5_LIF0260 X10    |S|EN4|        |5N1|NAA PHILIPS HEALTHCARE  140836|21.09.00879 |741244|        1,00  |03-06-2022|18-01-2023|  7015|101|7010|        |
3322 405 55621  |DSIM-PTOOL DL5_LIF0260 X11    |M|PIL|        |5N1|NAA PHILIPS HEALTHCARE  140836|21.09.00879 |     0|        1,00  |21-11-2022|13-12-2022|  7015|101|7010|        |
3322 405 55631  |DSIM-PTOOL DL5_LIF0260 X12    |M|EP4|        |5N1|NAA PHILIPS HEALTHCARE  140836|21.09.00879 |     0|        1,00  |21-11-2022|13-12-2022|  7015|101|7010|        |
3322 405 5596P  |NXE3800 P-BOM                 |M|EP3|        |5A1|ASML CABLE              141104|21.12.01095 |     0|        1,00  |25-08-2022|25-08-2022|     0|   |   0|        |
3322 405 5603P  |P-BOM VDL 8NC'S               |M|EP3|        |5E1|VDL-ETG ASML REL.       140716|22.01.00083 |     0|        3,00  |25-08-2022|25-08-2022|     0|   |   0|        |
3322 405 56051  |TESTKABEL R306 4pSUBD F - 4pSU|S|EN4|        |5N2|NAA ASML-CABLE          140836|22.01.00092 |338659|       18,00  |12-07-2022|24-08-2022|  8030|N01|4010|        |
3322 405 56111  |TESTKABEL R316 HAN Q M - HAN Q|S|PIL|        |5N2|NAA ASML-CABLE          140836|22.01.00092 |338618|        1,00  |01-07-2022|30-08-2022|  8030|N01|4010|        |
3322 405 56131  |TESTKABEL R314 HAN Q F - HAN Q|S|PIL|        |5N2|NAA ASML-CABLE          140836|22.01.00092 |338619|        2,00  |11-07-2022|30-08-2022|  8030|N01|4010|        |
3322 405 56211  |EXE WS CBSL PWR - UPGRADE SET |S|PRO|        |5F1|ASML GRADE 2 ASSY       141122|20.09.00689 |162603|        1,00  |22-03-2022|23-03-2022|     0|   |   0|ART_NPM |
3322 405 5628P  |NXE3800 Pbom ASML WP 31-35    |M|EP3|        |5A0|ASML PURCHASING PART    141104|22.02.00156 |     0|        1,00  |25-08-2022|25-08-2022|     0|   |   0|        |
3322 405 57691  |EMC 1 SET                     |M|PRO|        |3V9|VDL KONINGS             141002|22.03.00286 |     0|        1,00  |11-05-2023|30-05-2023|  7011|101|7010|        |
3322 405 57701  |EMC 2 SET                     |M|PIL|        |3V9|VDL KONINGS             141002|22.03.00286 |     0|        1,00  |11-05-2023|30-05-2023|  7011|101|7010|        |
3322 405 57711  |EMC 3 SET                     |M|PRO|        |3V9|VDL KONINGS             141002|22.03.00286 |     0|        1,00  |11-05-2023|30-05-2023|  7011|101|7010|        |
3322 405 57721  |EMC 4 SET                     |M|PIL|        |3V9|VDL KONINGS             141002|22.03.00286 |     0|        1,00  |11-05-2023|30-05-2023|  7011|101|7010|        |
3322 405 57731  |EMC 5 SET                     |M|PIL|        |3V9|VDL KONINGS             141002|22.03.00286 |     0|        1,00  |11-05-2023|30-05-2023|  7011|101|7010|        |
3322 405 57741  |HARNESS 1                     |M|PIL|        |3V9|VDL KONINGS             141002|22.03.00286 |     0|        1,00  |11-05-2023|30-05-2023|  7011|101|7010|        |
3322 405 57751  |HARNESS 2                     |M|PIL|        |3V9|VDL KONINGS             141002|22.03.00286 |     0|        1,00  |11-05-2023|30-05-2023|  7011|101|7010|        |
3322 405 57761  |HARNESS 22                    |M|PIL|        |3V9|VDL KONINGS             141002|22.03.00286 |     0|        1,00  |11-05-2023|30-05-2023|  7011|101|7010|        |
3322 405 57771  |HARNESS 25                    |M|PIL|        |3V9|VDL KONINGS             141002|22.03.00286 |     0|        1,00  |11-05-2023|30-05-2023|  7011|101|7010|        |
3322 405 57781  |HARNESS 3                     |M|PIL|        |3V9|VDL KONINGS             141002|22.03.00286 |     0|        1,00  |11-05-2023|30-05-2023|  7011|101|7010|        |
3322 405 57801  |HARNESS T13 (EMC 3)           |M|PIL|        |3V9|VDL KONINGS             141002|22.03.00286 |     0|        1,00  |11-05-2023|30-05-2023|  7011|101|7010|        |
3322 405 57811  |HARNESS T13 (EMC 4)           |M|PIL|        |3V9|VDL KONINGS             141002|22.03.00286 |     0|        1,00  |11-05-2023|30-05-2023|  7011|101|7010|        |
3322 405 5783P  |P-BOM VDL NXE3800 UPDATE      |M|EP3|        |5E1|VDL-ETG ASML REL.       140716|22.05.00415 |     0|        1,00  |25-08-2022|25-08-2022|     0|   |   0|        |
3322 405 57871  |HOSESET TBUNDLE 4022 694 36291|S|EN4|        |5A2|ASML CABLE-SET          141104|22.05.00396 |741257|        1,00  |02-08-2022|26-08-2022|  7005|101|7010|        |
3322 405 58591  |TESTCBL R350 LEM 2B6M - LEM2B6|S|PRO|        |5N2|NAA ASML-CABLE          140836|22.06.00490 |312655|        1,00  |19-08-2022|08-09-2022|  8030|N01|4010|        |
3322 405 58601  |TESTCBL R331 MODHAR - MODHAR L|M|EN3|        |5N2|NAA ASML-CABLE          140836|22.06.00491 |     0|        1,00  |19-09-2022|14-10-2022|     0|N01|4010|        |
3322 405 58611  |TESTCBL R332 MODHAR - MODHAR L|M|EN3|        |5N2|NAA ASML-CABLE          140836|22.06.00491 |     0|        2,00  |19-09-2022|14-10-2022|     0|N01|4010|        |
3322 405 58621  |TESTCBL R333 MODHAR - MODHAR L|M|EN3|        |5N2|NAA ASML-CABLE          140836|22.06.00491 |     0|        4,00  |19-09-2022|14-10-2022|     0|N01|4010|        |
3322 405 58631  |TESTCBL R334 MODHAR - MODHAR L|M|EN3|        |5N2|NAA ASML-CABLE          140836|22.06.00491 |     0|        2,00  |05-09-2022|30-09-2022|     0|N01|4010|        |
3322 405 58641  |TESTCBL R335 SUBD9PQL F - SUBD|M|EN3|        |5N2|NAA ASML-CABLE          140836|22.06.00491 |     0|        5,00  |05-09-2022|30-09-2022|     0|N01|4010|        |
3322 405 58651  |TESTCBL R336 SUBD15PQL F - SUB|M|EN3|        |5N2|NAA ASML-CABLE          140836|22.06.00491 |     0|       13,00  |05-09-2022|30-09-2022|     0|N01|4010|        |
3322 405 58671  |TESTCBL R338 SUBD4W4PQL F - SU|M|EN3|        |5N2|NAA ASML-CABLE          140836|22.06.00491 |     0|       13,00  |05-09-2022|30-09-2022|     0|N01|4010|        |
3322 405 58681  |TESTCBL R339 LEM 1B3 M - LEM 1|M|EN3|        |5N2|NAA ASML-CABLE          140836|22.06.00491 |     0|        1,00  |05-09-2022|30-09-2022|     0|N01|4010|        |
3322 405 58801  |PULL TEST 8-2022              |S|EP4|        |5A1|ASML CABLE              141104|22.01.00083 |736585|        1,00  |01-08-2022|18-08-2022|     0|101|7010|        |
4022 186 97281B |LOSSE BEDRADING OSC           |M|PIL|        |3N1|NIS FEI                 141189|19.10.00970 |     0|       12,00  |13-09-2022|03-10-2022|  8020|N01|4010|        |
4022 186 97281D |LOSSE BEDRADING OSC           |M|PIL|        |3N1|NIS FEI                 141189|20.11.00853 |     0|       10,00  |13-09-2022|07-10-2022|  8020|N01|4010|        |
4022 436 48611  |TELETOOL PSD TO PREAMP CABLE  |S|EN4|        |5A1|ASML CABLE              141104|21.04.00394 |312315|        3,00  |17-08-2021|20-09-2022|  8034|N01|4010|        |
4022 437 24531  |ZOOM AXICON INTERL ADAPT CBL 1|M|EN3|        |5A1|ASML CABLE              141104|21.05.00516 |     0|        1,00  |06-10-2022|26-10-2022|  8030|N01|4010|        |
4022 438 38707# |4022 438 38707 CLEANED GRADE4 |S|EN4|        |5A1|ASML CABLE              141104|22.01.00070 |741220|        1,00  |20-04-2022|04-05-2022|  7005|101|7010|        |
4022 458 04581  |WH PAS WHR PATCH CBL SET      |M|EP3|        |5N3|NAA ASML-CABLE-SET      140836|22.06.00569 |     0|        5,00  |03-10-2022|28-10-2022|     0|N01|4010|        |
4022 472 32982# |4022 472 32982 CLEANED GRADE 4|M|EN3|        |5A1|ASML CABLE              141104|22.06.00527 |     0|        1,00  |23-09-2022|04-10-2022|     0|N01|4010|        |
4022 472 44411  |AWH CABINET CABLE SET         |M|EN3|        |3N3|NIS ASML                141189|22.02.00134 |     0|        5,00  |20-09-2022|04-10-2022|     0|N01|4010|        |
4022 472 87114  |CAT MDC-WISC CUSTOM MADE BUN  |M|PIL|23 s2   |5A3|ASML 1D-BUNDLE          141104|17.10.00879 |     0|        1,00  |23-05-2024|17-06-2024|  8035|N01|4010|CAS     |
4022 472 94302  |IL IPSU SV02 CBL              |M|EN3|        |5A1|ASML CABLE              141104|22.02.00150 |     0|        6,00  |12-09-2022|28-09-2022|  8034|N01|4010|        |
4022 472 94332  |IL IPSU SV05 CBL              |M|EN3|        |5A1|ASML CABLE              141104|22.02.00150 |     0|        1,00  |10-10-2022|26-10-2022|  8034|N01|4010|        |
4022 623 34023  |PM WS ZS E3 MFVF MFCP CBL     |S|EN4|        |5F1|ASML GRADE 2 ASSY       141122|            |580741|        1,00  |16-08-2022|26-08-2022|  7008|101|7010|        |
4022 623 36673  |LINE 328  FGG.3B.326 SUB-D 37M|S|EP4|        |5F2|NAA GRADE 2 ASSY        140838|22.03.00197 |162797|        1,00  |29-07-2022|29-08-2022|  7008|101|7010|        |
4022 623 36683  |LINE 330 PFJ.0B.304 SUB-D 25M |M|EP3|        |5F2|NAA GRADE 2 ASSY        140838|18.10.00899 |     0|        1,00  |04-10-2022|26-10-2022|  7008|101|7010|        |
4022 623 36693  |LINE 329 PFJ.2B.314 SUB-D 25M |S|EP4|        |5N2|NAA ASML-CABLE          140836|22.03.00197 |162798|        1,00  |29-07-2022|29-08-2022|  7008|101|7010|        |
4022 623 46602  |EXE WS LoS PWR CBL C1 ASSY    |S|EP4|        |5F1|ASML GRADE 2 ASSY       141122|21.07.00710 |162715|        1,00  |18-07-2022|20-09-2022|  7006|101|7010|        |
4022 623 46603  |EXE WS LoS PWR CBL C1 ASSY    |M|EP3|        |5F1|ASML GRADE 2 ASSY       141122|22.04.00296 |     0|        1,00  |06-09-2022|28-09-2022|  7006|101|7010|        |
4022 623 46701  |EXE WS SS PWR CBL C1 ASSY     |S|PRO|        |5F1|ASML GRADE 2 ASSY       141122|20.09.00710 |580607|        1,00  |07-04-2022|19-04-2022|  7006|101|7010|        |
4022 623 46702  |EXE WS SS PWR CBL C1 ASSY     |M|EP4|        |5F1|ASML GRADE 2 ASSY       141122|21.06.00595 |     0|        1,00  |05-10-2022|26-10-2022|  7006|101|7010|        |
4022 623 46703  |EXE WS SS PWR CBL C1 ASSY     |M|EP3|        |5F1|ASML GRADE 2 ASSY       141122|22.05.00401 |     0|        1,00  |18-01-2023|09-02-2023|  7006|101|7010|        |
4022 623 46801  |EXE WS LOS PWR CBL C2         |S|PRO|        |5A1|ASML CABLE              141104|20.09.00709 |162800|        1,00  |04-08-2022|19-09-2022|  7006|101|7010|        |
4022 623 46802  |EXE WS LOS PWR CBL C2         |M|EP3|        |5A1|ASML CABLE              141104|22.04.00296 |     0|        1,00  |05-10-2022|27-10-2022|  7006|101|7010|        |
4022 623 46901  |EXE WS SS PWR CBL C2 ASSY     |M|EP4|        |5F1|ASML GRADE 2 ASSY       141122|21.06.00595 |     0|        1,00  |05-10-2022|26-10-2022|  7006|101|7010|        |
4022 623 54222  |NXE SR HFS HT VFTM2 HFPB1 CBL |S|PIL|        |5F8|NORMA GRADE 2 ASSY      141902|21.11.01048 |592509|        1,00  |27-07-2022|19-08-2022|  7008|101|7010|        |
4022 623 66481  |RS SS SC SENSOR ASSY A        |S|EP4|        |5F1|ASML GRADE 2 ASSY       141122|21.06.00572 |162508|        1,00  |29-09-2021|07-07-2022|  7008|101|7010|        |
4022 623 66653  |RS CABLE SLAB ASSY IL SIDE    |S|PRO|        |5F1|ASML GRADE 2 ASSY       141122|2012.00931.3|162520|        1,00  |15-11-2021|28-09-2022|  7006|101|7010|        |
4022 623 66654  |RS CABLE SLAB ASSY IL SIDE    |S|PRO|        |5F1|ASML GRADE 2 ASSY       141122|22.03.00278 |162829|        1,00  |15-09-2022|03-10-2022|  7006|101|7010|        |
4022 623 69082  |EL MBBM VAC L HRG PWR CBL SET |M|EN3|        |5F1|ASML GRADE 2 ASSY       141122|22.05.00422 |     0|        1,00  |07-08-2023|24-08-2023|  7006|101|7010|        |
4022 623 69092  |EL MBBM VAC R HRG PWR CBL SET |M|EN3|        |5F1|ASML GRADE 2 ASSY       141122|22.05.00422 |     0|        1,00  |22-02-2023|13-03-2023|  7006|101|7010|        |
4022 623 69103  |EL MBBM VAC L WSHS SIG CBL SET|M|EN3|        |5F1|ASML GRADE 2 ASSY       141122|22.05.00422 |     0|        1,00  |12-06-2023|29-06-2023|  7006|101|7010|        |
4022 623 69113  |EL MBBM VAC R WSHS SIG CBL SET|M|EN3|        |5F1|ASML GRADE 2 ASSY       141122|22.05.00422 |     0|        1,00  |12-06-2023|29-06-2023|  7006|101|7010|        |
4022 623 69323  |NXE 3600 POB DYLI E-BUN PX    |M|EN3|        |5F2|NAA GRADE 2 ASSY        140838|22.04.00324 |     0|        1,00  |19-09-2022|03-10-2022|  8045|101|7010|        |
4022 623 69631  |EL MBBM VAC DGL SIG CBL SET   |M|PRO|        |5F1|ASML GRADE 2 ASSY       141122|22.06.00553 |     0|        1,00  |16-01-2023|08-02-2023|  7006|101|7010|        |
4022 623 69742  |WSC1 PWR CSI LA2BM YZ1 CBL    |M|EN3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.01.00006 |     0|        1,00  |08-11-2022|25-11-2022|  7006|101|7010|        |
4022 623 69752  |WSC1 PWR CSI LA2BM YZ2 CBL    |M|EN3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.01.00006 |     0|        1,00  |08-11-2022|25-11-2022|  7006|101|7010|        |
4022 623 69792  |WSC2 PWR CSI LA2BM YZ1 CBL    |M|EN3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.01.00006 |     0|        1,00  |08-11-2022|25-11-2022|  7006|101|7010|        |
4022 623 69802  |WSC2 PWR CSI LA2BM YZ2 CBL    |M|EN3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.01.00006 |     0|        1,00  |08-11-2022|25-11-2022|  7006|101|7010|        |
4022 623 70012  |EXE WSC1 CS FLEX CBL SEC2 ASSY|S|EP4|        |5F1|ASML GRADE 2 ASSY       141122|20.09.00698 |162720|        1,00  |15-08-2022|01-09-2022|  7006|101|7010|        |
4022 623 70022  |EXE WSC1 CS FLEX CBL SEC3 ASSY|S|EP4|        |5F1|ASML GRADE 2 ASSY       141122|20.09.00698 |162721|        1,00  |15-08-2022|01-09-2022|  7006|101|7010|        |
4022 623 70042  |EXE WSC1 CS FLEX CBL SEC5 ASSY|S|EP4|        |5F1|ASML GRADE 2 ASSY       141122|20.09.00698 |162747|        1,00  |15-08-2022|01-09-2022|  7006|101|7010|        |
4022 623 70062  |EXE WSC2 CS FLEX CBL SEC2 ASSY|S|EP4|        |5F1|ASML GRADE 2 ASSY       141122|20.09.00698 |162748|        1,00  |15-08-2022|01-09-2022|  7006|101|7010|        |
4022 623 70072  |EXE WSC2 CS FLEX CBL SEC3 ASSY|S|EP4|        |5F1|ASML GRADE 2 ASSY       141122|20.09.00698 |162724|        1,00  |15-08-2022|01-09-2022|  7006|101|7010|        |
4022 623 70092  |EXE WSC2 CS FLEX CBL SEC5 ASSY|S|EP4|        |5F1|ASML GRADE 2 ASSY       141122|20.09.00698 |162750|        1,00  |15-08-2022|01-09-2022|  7006|101|7010|        |
4022 623 70162  |WSC1 PWR CSI LA2BM X1Z3 CBL   |M|EN3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.01.00006 |     0|        1,00  |08-11-2022|25-11-2022|  7006|101|7010|        |
4022 623 70172  |WSC1 PWR CSI LA2BM X2Z3 CBL   |M|EN3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.01.00006 |     0|        1,00  |08-11-2022|25-11-2022|  7006|101|7010|        |
4022 623 70182  |WSC2 PWR CSI LA2BM X1Z3 CBL   |M|EN3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.01.00006 |     0|        1,00  |08-11-2022|25-11-2022|  7006|101|7010|        |
4022 623 70192  |WSC2 PWR CSI LA2BM X2Z3 CBL   |M|EN3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.01.00006 |     0|        1,00  |08-11-2022|25-11-2022|  7006|101|7010|        |
4022 623 75721  |RS EXE ACCL CBL ASSY 1        |M|PIL|        |5F1|ASML GRADE 2 ASSY       141122|2105.00488.1|     0|        1,00  |17-10-2022|08-11-2022|  7008|101|7010|        |
4022 623 75751  |RS EXE ACCL CBL ASSY 4        |M|PIL|        |5F1|ASML GRADE 2 ASSY       141122|2105.00488.1|     0|        3,00  |11-10-2022|02-11-2022|  7008|101|7010|        |
4022 623 76181  |RS EXE LOS Z SENS CBL ASSY 1  |S|EN4|        |5F1|ASML GRADE 2 ASSY       141122|2105.00488.1|975801|        3,00  |11-08-2022|06-09-2022|  7008|101|7010|        |
4022 623 76201  |RS EXE LOS Z SENS CBL ASSY 3  |M|PIL|        |5F1|ASML GRADE 2 ASSY       141122|2105.00488.1|     0|        1,00  |17-10-2022|08-11-2022|  7008|101|7010|        |
4022 623 76211  |RS EXE LOS X CBL SET          |S|EP4|        |5F1|ASML GRADE 2 ASSY       141122|2105.00488.1|162771|        4,00  |25-07-2022|23-08-2022|  7008|101|7010|        |
4022 623 76801  |EXE SR HEL HTR CBL            |S|EN4|        |5E1|VDL-ETG ASML REL.       140716|22.06.00545 |975433|        1,00  |25-07-2022|22-08-2022|  7008|101|7010|        |
4022 623 76831  |EXE SR HEL TC CBL             |S|EN4|        |5E1|VDL-ETG ASML REL.       140716|22.06.00545 |975978|        1,00  |08-08-2022|01-09-2022|  7008|101|7010|        |
4022 623 77201  |SR TM XDM LINER TC A4         |S|PIL|        |5F4|AAE GRADE 2 ASSY        141091|22.07.00593 |975991|        1,00  |08-09-2022|23-09-2022|  7008|101|7010|        |
4022 623 77311  |EXE CFIL HO BAR TC EXT CBL    |S|PIL|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.08.00718 |975673|        1,00  |01-08-2022|24-08-2022|  7008|101|7010|        |
4022 623 79401  |RH RED LOAD POS SEN ASSY      |M|EP3|        |5F1|ASML GRADE 2 ASSY       141122|21.07.00696 |     0|        1,00  |25-08-2022|16-09-2022|     0|101|7010|CAS     |
4022 623 79421  |RH RED EIPPLB SENS ASSY       |M|EP3|        |5F1|ASML GRADE 2 ASSY       141122|21.07.00696 |     0|        6,00  |29-07-2022|30-08-2022|  7008|101|7010|CAS     |
4022 623 80422  |RS CABLE SLAB ASSY RH SIDE    |S|EP4|        |5F1|ASML GRADE 2 ASSY       141122|22.03.00278 |162653|        1,00  |07-06-2022|22-06-2022|  7006|101|7010|        |
4022 623 81651  |VS DGL COLDDISK NTC CBL ASSY  |M|PRO|        |5F2|NAA GRADE 2 ASSY        140838|22.05.00437 |     0|        4,00  |19-08-2022|13-09-2022|  7009|101|7010|PDF     |
4022 623 82121  |EXE SR TFL TDT TC CBL         |M|PIL|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.08.00718 |     0|        1,00  |01-09-2022|20-09-2022|  7008|101|7010|        |
4022 623 82491  |RM Y0 I/O-VFT TO Y0-BRAKE CBL |M|EN3|        |5A1|ASML CABLE              141104|22.04.00298 |     0|        5,00  |09-09-2022|28-09-2022|  8034|N01|4010|        |
4022 623 82501  |RM Y1 I/O-VFT TO Y1-BRAKE CBL |M|EN3|        |5A1|ASML CABLE              141104|22.04.00298 |     0|        5,00  |09-09-2022|28-09-2022|  8034|N01|4010|        |
4022 623 82511  |RM Y0 I/O-VFT TO Y0-ENC CBL   |M|EN3|        |5A1|ASML CABLE              141104|22.04.00298 |     0|        5,00  |22-09-2022|11-10-2022|  8034|N01|4010|        |
4022 623 82521  |RM Y1A I/O-VFT TO Y1A-ENC CBL |M|EN3|        |5A1|ASML CABLE              141104|22.04.00298 |     0|        5,00  |22-09-2022|11-10-2022|  8034|N01|4010|        |
4022 623 82531  |RM Y1B I/O-VFT TO Y1B-ENC CBL |M|EN3|        |5A1|ASML CABLE              141104|22.04.00298 |     0|        5,00  |22-09-2022|11-10-2022|  8034|N01|4010|        |
4022 623 82541  |RM X0 I/O-VFT TO X0-ENC CBL   |M|EN3|        |5A1|ASML CABLE              141104|22.04.00298 |     0|        5,00  |16-09-2022|05-10-2022|  8034|N01|4010|        |
4022 623 82551  |RM X1 I/O-VFT TO X1-CP CBL    |M|EN3|        |5A1|ASML CABLE              141104|22.04.00298 |     0|        5,00  |16-09-2022|05-10-2022|  8034|N01|4010|        |
4022 623 82561  |RM X1 X1-CP TO X1-ENC CBL     |M|EN3|        |5A1|ASML CABLE              141104|22.04.00298 |     0|        5,00  |16-09-2022|05-10-2022|  8034|N01|4010|        |
4022 623 82571  |RM X BRAKE VSO                |M|EP3|        |5M2|FRENCKEN SEMICON GRADE4 141047|22.06.00475 |     0|       20,00  |31-03-2023|19-04-2023|     0|101|7010|        |
4022 623 82581  |RM Y BRAKE VSO                |M|EP3|        |5M3|FRENCKEN SEMICON GRADE2 141047|22.06.00475 |     0|       20,00  |31-03-2023|19-04-2023|     0|101|7010|        |
4022 623 82621  |RM FRM TMP SNSR               |M|EP3|        |5M2|FRENCKEN SEMICON GRADE4 141047|22.06.00506 |     0|       10,00  |10-01-2023|03-02-2023|     0|101|7010|        |
4022 623 82631  |RM RCWIN TMP SNSR             |M|EP3|        |5M2|FRENCKEN SEMICON GRADE4 141047|22.06.00506 |     0|       10,00  |14-02-2023|10-03-2023|     0|101|7010|        |
4022 623 83162  |VS FUNNEL DETECT SENS ASSY    |M|PRO|        |5F2|NAA GRADE 2 ASSY        140838|22.05.00423 |     0|        9,00  |29-08-2022|21-09-2022|  7009|101|7010|        |
4022 623 83591  |EL MBBM VAC DGL PRE ASSEM ASSY|S|PIL|        |5F1|ASML GRADE 2 ASSY       141122|21.06.00559 |170045|        1,00  |20-06-2022|06-07-2022|  7006|101|7010|        |
